Hours Studied,Previous Scores,Sleep Hours,Sample Question Papers Practiced,Performance Index
7,99,9,1,91.0
4,82,4,2,65.0
8,51,7,2,45.0
5,52,5,2,36.0
7,75,8,5,66.0
3,78,9,6,61.0
7,73,5,6,63.0
8,45,4,6,42.0
5,77,8,2,61.0
4,89,4,0,69.0
8,91,4,5,84.0
8,79,6,2,73.0
3,47,9,2,27.0
6,47,4,2,33.0
5,79,7,8,68.0
2,72,4,3,43.0
8,73,8,4,67.0
6,83,7,2,70.0
2,54,4,9,30.0
5,75,7,0,63.0
1,99,4,3,71.0
6,96,9,0,85.0
9,74,7,6,73.0
1,85,5,6,57.0
3,61,6,3,35.0
7,62,7,4,49.0
4,79,8,9,66.0
9,84,6,6,83.0
3,94,6,5,74.0
5,90,4,3,74.0
3,61,7,3,39.0
7,44,9,1,36.0
5,70,6,9,58.0
9,52,8,1,47.0
7,67,9,3,60.0
2,97,9,4,74.0
4,59,8,3,42.0
9,72,8,2,68.0
2,55,4,1,32.0
9,68,5,3,64.0
5,62,7,4,45.0
2,63,6,0,39.0
4,73,7,0,58.0
7,46,9,5,36.0
8,77,6,4,71.0
3,76,4,3,54.0
1,43,7,0,17.0
4,73,4,6,54.0
2,81,4,3,58.0
8,61,7,2,53.0
4,44,7,6,27.0
2,89,6,1,65.0
6,81,9,9,75.0
6,62,9,0,52.0
4,93,8,3,78.0
6,99,4,7,91.0
2,54,9,5,33.0
2,70,5,8,47.0
4,98,6,0,78.0
8,48,6,0,38.0
7,82,8,4,70.0
9,97,8,5,98.0
8,92,4,7,87.0
5,64,6,2,49.0
2,64,6,5,41.0
5,88,5,2,71.0
8,60,4,7,54.0
9,48,4,3,42.0
9,94,9,1,91.0
1,87,8,8,61.0
9,77,9,9,74.0
7,61,4,7,54.0
9,82,5,5,81.0
8,62,4,2,52.0
1,88,9,1,65.0
8,43,7,3,36.0
8,68,7,3,61.0
3,54,5,0,35.0
1,40,8,8,15.0
8,93,6,9,88.0
3,69,4,7,45.0
3,68,9,6,49.0
1,59,8,5,33.0
5,72,9,2,60.0
7,80,8,3,71.0
9,83,4,1,81.0
7,75,6,6,67.0
9,99,4,1,95.0
8,61,6,9,58.0
2,52,9,0,29.0
1,46,5,5,21.0
7,47,6,3,38.0
7,67,8,7,60.0
8,84,5,0,76.0
5,82,9,8,69.0
3,48,7,5,30.0
8,64,5,1,57.0
6,95,6,7,81.0
3,55,5,4,36.0
1,49,9,4,25.0
3,50,5,4,27.0
5,70,9,6,61.0
3,51,7,6,34.0
1,99,6,9,76.0
5,70,8,6,57.0
7,53,5,9,45.0
7,90,4,1,76.0
9,83,8,7,83.0
3,71,5,0,50.0
7,89,8,1,81.0
1,92,4,6,66.0
4,56,8,3,38.0
4,74,8,9,56.0
5,40,4,9,25.0
7,68,4,8,56.0
7,90,4,8,82.0
4,43,7,2,23.0
7,62,9,2,56.0
3,67,9,8,46.0
6,55,4,9,43.0
2,51,9,7,30.0
9,92,8,0,92.0
5,60,4,5,45.0
6,84,5,6,70.0
4,56,4,7,36.0
7,79,4,1,71.0
9,52,9,0,49.0
7,91,6,3,82.0
1,97,8,0,71.0
1,71,9,1,43.0
9,76,8,2,77.0
9,89,5,3,86.0
4,54,7,5,34.0
9,51,6,7,49.0
3,88,5,8,69.0
7,96,5,3,84.0
6,54,8,0,41.0
8,73,6,4,68.0
9,45,8,4,44.0
5,56,7,8,41.0
1,87,8,5,58.0
3,88,4,4,68.0
8,96,8,9,94.0
6,59,4,9,47.0
8,48,5,4,40.0
9,98,7,7,100.0
4,44,9,0,23.0
1,62,4,4,36.0
1,72,7,0,47.0
4,77,8,6,60.0
7,95,9,6,83.0
2,53,8,9,33.0
3,56,5,7,36.0
1,96,8,6,74.0
5,58,4,8,42.0
1,72,5,7,47.0
8,40,7,7,31.0
1,52,5,2,26.0
1,85,7,9,58.0
2,66,6,3,42.0
2,45,4,3,18.0
6,98,4,0,85.0
7,45,7,5,36.0
5,72,8,1,58.0
1,69,9,8,45.0
1,85,8,0,60.0
3,74,6,0,56.0
2,62,7,9,42.0
5,49,6,5,33.0
6,90,7,0,77.0
7,58,6,2,51.0
4,90,7,9,72.0
7,67,4,1,57.0
8,62,6,8,53.0
1,43,6,4,16.0
6,59,7,5,45.0
8,58,5,1,49.0
5,81,5,7,67.0
4,66,4,5,49.0
2,96,8,7,73.0
6,73,8,7,65.0
6,43,4,0,27.0
1,95,8,6,72.0
9,77,9,1,74.0
6,46,9,7,38.0
3,87,9,1,67.0
4,46,9,3,28.0
4,89,7,1,73.0
3,91,5,6,72.0
3,65,4,4,42.0
3,65,7,8,47.0
4,93,9,4,77.0
7,58,4,7,49.0
4,48,5,1,30.0
9,59,8,2,54.0
1,81,7,5,56.0
8,84,5,6,75.0
7,89,4,9,78.0
2,55,6,7,32.0
8,93,7,2,89.0
1,56,4,6,29.0
9,61,4,7,57.0
9,52,5,9,48.0
2,51,4,5,27.0
7,49,7,3,38.0
3,40,9,5,18.0
7,71,7,8,66.0
9,69,4,2,65.0
4,47,5,1,27.0
1,60,7,4,33.0
2,61,6,6,37.0
1,57,9,2,29.0
5,41,8,4,26.0
5,87,5,3,72.0
7,83,5,6,77.0
9,48,8,1,45.0
9,42,8,6,41.0
3,93,7,1,73.0
3,65,4,2,43.0
3,60,4,4,39.0
4,69,6,6,54.0
8,67,9,5,62.0
6,75,4,6,63.0
8,65,6,5,59.0
1,73,6,0,46.0
8,47,5,4,42.0
4,49,5,0,30.0
1,87,9,6,63.0
8,94,7,3,89.0
4,82,8,4,62.0
6,89,8,0,77.0
8,93,9,7,88.0
4,53,6,3,35.0
3,79,9,2,60.0
9,94,8,0,92.0
3,54,6,3,38.0
9,56,8,2,56.0
2,92,7,7,70.0
2,57,5,8,35.0
2,71,5,4,47.0
6,77,6,8,66.0
3,62,9,0,43.0
9,85,8,6,81.0
4,62,4,6,43.0
1,74,7,5,46.0
4,78,8,3,61.0
1,54,4,8,27.0
5,92,7,2,77.0
4,63,7,0,43.0
8,67,5,1,60.0
8,55,6,2,48.0
7,55,8,1,47.0
3,79,7,5,60.0
1,78,8,6,53.0
1,45,7,4,19.0
3,41,9,4,23.0
6,93,5,6,81.0
7,52,6,5,41.0
6,83,4,7,71.0
6,86,4,8,75.0
6,98,9,1,89.0
3,48,5,1,28.0
6,73,7,0,60.0
8,56,5,6,54.0
2,66,6,3,41.0
5,68,4,8,52.0
1,76,8,5,53.0
1,82,4,6,52.0
5,61,6,6,47.0
3,90,7,7,71.0
4,63,5,3,42.0
3,46,4,2,21.0
1,73,4,2,48.0
1,87,8,9,64.0
5,51,5,7,38.0
6,62,8,2,49.0
3,54,8,7,35.0
9,72,7,1,73.0
5,96,4,4,81.0
8,52,9,4,47.0
1,62,5,6,36.0
5,77,7,4,63.0
3,71,9,8,52.0
1,84,7,2,58.0
4,89,7,8,77.0
5,74,6,0,58.0
7,40,6,2,33.0
1,86,7,3,67.0
3,97,6,5,76.0
2,84,5,9,62.0
9,44,4,7,37.0
6,96,9,6,86.0
3,52,5,7,37.0
8,93,4,5,88.0
8,44,6,5,38.0
2,99,9,5,76.0
6,71,5,2,57.0
7,90,8,9,82.0
2,60,7,3,35.0
2,63,4,5,41.0
1,99,4,6,75.0
8,57,8,2,51.0
1,60,8,3,34.0
9,93,7,5,92.0
6,49,6,0,39.0
7,63,5,6,56.0
7,79,5,0,69.0
3,86,5,9,69.0
2,60,6,8,40.0
9,64,7,9,63.0
8,91,5,8,86.0
7,99,4,8,89.0
9,96,4,3,94.0
4,98,4,1,79.0
4,62,8,6,44.0
1,61,8,3,33.0
8,43,6,4,36.0
3,73,5,0,50.0
7,95,8,9,94.0
2,45,4,5,22.0
2,67,8,6,44.0
7,70,4,2,60.0
6,74,5,9,64.0
3,78,6,1,58.0
9,81,7,9,78.0
6,62,7,6,51.0
6,45,4,0,30.0
1,55,8,1,29.0
4,41,8,2,22.0
6,63,4,3,51.0
6,56,5,4,45.0
5,84,4,3,70.0
1,40,5,9,10.0
8,45,6,2,38.0
5,44,6,0,30.0
5,96,4,6,82.0
7,84,6,9,74.0
4,99,8,5,87.0
6,94,5,1,77.0
4,89,7,1,72.0
3,68,7,2,51.0
7,51,6,7,40.0
8,78,5,7,72.0
4,86,8,9,68.0
2,42,7,9,22.0
3,87,8,9,67.0
1,40,8,9,18.0
8,66,7,7,64.0
3,87,7,6,66.0
7,63,6,1,50.0
5,83,5,0,68.0
5,58,4,5,44.0
7,98,5,7,90.0
9,47,4,0,41.0
5,94,7,2,83.0
1,83,8,0,57.0
1,86,5,9,64.0
2,41,8,8,18.0
6,69,5,6,62.0
9,69,9,7,66.0
8,88,5,8,85.0
5,78,8,2,62.0
1,84,9,9,62.0
7,71,6,1,62.0
5,40,7,5,26.0
6,77,6,4,66.0
7,52,6,3,43.0
3,50,5,5,30.0
3,49,7,5,25.0
5,87,9,2,77.0
6,98,5,1,88.0
9,65,4,8,62.0
5,95,5,7,82.0
1,94,9,3,73.0
4,59,8,5,44.0
5,56,5,2,40.0
5,56,4,7,39.0
7,43,5,2,34.0
4,44,9,1,27.0
1,99,4,6,73.0
5,62,7,2,46.0
7,85,9,8,78.0
6,91,5,2,80.0
5,49,4,7,33.0
4,85,9,1,68.0
2,67,7,8,45.0
4,72,8,0,56.0
3,82,6,2,58.0
1,65,4,1,37.0
8,94,8,6,88.0
5,89,7,4,75.0
4,87,8,7,70.0
8,68,5,1,62.0
7,66,6,7,57.0
2,57,4,6,32.0
1,79,9,4,53.0
